adverb,count,syllables
surpassingly,11156,4
colossally,11167,4
immoderately,11273,5
terrifically,62292,4
frightfully,65389,3
astoundingly,73041,4
inordinately,88639,5
phenomenally,120769,5
uncommonly,135747,4
outrageously,240010,4
fantastically,250989,4
mightily,252135,3
supremely,296134,3
insanely,359644,3
strikingly,480417,3
acutely,493931,3
awfully,651519,3
unduly,674618,3
decidedly,817806,4
excessively,877280,4
extraordinarily,900456,6
exceedingly,977435,4
immensely,1061341,3
intensely,1084765,3
markedly,1213704,3
amazingly,1384225,4
radically,1414254,3
unusually,1583939,5
cracking,1844789,2
remarkably,1902493,4
terribly,1906059,3
exceptionally,2054231,5
desperately,2139968,3
utterly,2507480,3
notably,3141835,3
incredibly,4416030,4
seriously,12570333,4
truly,19778608,2
significantly,19939125,5
totally,20950052,3
extremely,21862963,3
highly,36460329,2
particularly,41066217,5
quite,55269390,1
especially,55397873,4
very,292897993,2
